text,label
Software Engineering Intern at Google. Requirements: Currently pursuing BS/MS in Computer Science. Strong programming skills in Python or Java. Duration: 12 weeks. Paid internship with competitive stipend. Apply through our careers page.,0
"Marketing Intern at Deloitte. Join our marketing team for a 6-month internship. Requirements: Marketing or Business major, strong communication skills. Monthly stipend provided. Office location: New York.",0
"Data Science Intern at Microsoft Research. Work on cutting-edge AI projects. Requirements: PhD student in ML/AI, published research preferred. 3-month paid internship. Apply with CV and research statement.",0
"Finance Intern at JPMorgan Chase. Rotational program across investment banking divisions. Requirements: Finance or Economics major, GPA 3.5+. 10-week summer program with housing allowance.",0
"UX Design Intern at Apple. Help design next-generation products. Requirements: Design portfolio, proficiency in Figma/Sketch. 12-week paid internship at Cupertino campus.",0
Research Intern at IBM Watson. Work on natural language processing research. Requirements: Graduate student in CS/NLP. Published papers preferred. Competitive stipend and relocation assistance.,0
"Product Management Intern at Amazon. Drive product strategy for AWS services. Requirements: MBA candidate, analytical mindset. 12-week paid internship in Seattle.",0
"Civil Engineering Intern at AECOM. Support infrastructure projects. Requirements: Civil Engineering student, AutoCAD proficiency. 3-month internship with mentorship program.",0
Human Resources Intern at PwC. Support talent acquisition initiatives. Requirements: HR or Psychology major. 6-month internship with professional development opportunities.,0
Cybersecurity Intern at Cisco. Work on network security projects. Requirements: CS or Information Security student. CompTIA Security+ preferred. Paid summer internship.,0
"Mechanical Engineering Intern at Tesla. Support vehicle design and manufacturing. Requirements: ME student with CAD experience. 3-month paid internship in Fremont, CA.",0
"Content Writing Intern at HubSpot. Create blog posts and marketing content. Requirements: English or Journalism major, writing samples required. Remote internship with monthly stipend.",0
"Accounting Intern at Ernst & Young. Support audit and assurance services. Requirements: Accounting major, working toward CPA. 8-week summer internship.",0
Biotech Research Intern at Genentech. Lab-based research in drug development. Requirements: Biology or Chemistry graduate student. 12-week paid internship.,0
Cloud Engineering Intern at Salesforce. Build and deploy cloud solutions. Requirements: CS student with AWS/Azure experience. Paid internship with full-time conversion opportunity.,0
"Legal Intern at Baker McKenzie. Support corporate law practice. Requirements: Law student (2L or 3L), law review preferred. Paid summer associate position.",0
Supply Chain Intern at Procter & Gamble. Optimize logistics and distribution. Requirements: Supply Chain or Operations major. 10-week paid internship with relocation support.,0
Graphic Design Intern at Adobe. Create visual content for marketing campaigns. Requirements: Design student with Adobe Creative Suite proficiency. Portfolio required. Remote option available.,0
"Environmental Science Intern at EPA. Support environmental research and policy analysis. Requirements: Environmental Science major, GIS skills preferred. Government stipend provided.",0
Machine Learning Intern at NVIDIA. Develop deep learning models for GPU optimization. Requirements: MS/PhD in CS with ML focus. Strong PyTorch/TensorFlow skills. Competitive compensation.,0
"Business Analyst Intern at McKinsey. Support consulting engagements across industries. Requirements: Top-tier university, analytical skills. 10-week summer program.",0
Pharmaceutical Intern at Pfizer. Support clinical trial data analysis. Requirements: Pharmacy or Life Sciences student. 12-week paid internship.,0
Robotics Intern at Boston Dynamics. Work on robot locomotion and control. Requirements: Robotics or ME graduate student. C++ and ROS experience required.,0
"Social Media Intern at Meta. Manage content strategy for internal communications. Requirements: Communications major, social media analytics experience. Paid internship at Menlo Park.",0
Quality Assurance Intern at Intel. Test semiconductor manufacturing processes. Requirements: EE or Materials Science student. Clean room experience a plus. Paid internship.,0
Database Administration Intern at Oracle. Support enterprise database solutions. Requirements: CS student with SQL proficiency. 3-month paid internship with training program.,0
